device_id,segment_id,start_date,end_date,length_days,start_level,end_level,drop,decay_rate,month,period_stage,eligible_pure_decay,ineligible_reason
a7,16,2025-06-20,2025-07-30,40,103.69657589019349,97.1831597729537,-6.513416117239785,-0.16283540293099463,6,late,True,
a7,17,2025-08-01,2025-08-28,27,97.47493658039966,94.951958398481,-2.52297818191866,-0.09344363636735777,8,late,True,
a7,18,2025-09-05,2025-10-14,39,97.91793692965715,79.87539183290676,-18.042545096750388,-0.46262936145513817,9,late,True,
a7,19,2025-10-22,2025-12-12,51,99.68179466223674,70.4556372561052,-29.226157406131534,-0.5730619099241477,10,late,True,
a7,20,2025-12-14,2025-12-18,4,69.7033446337856,66.1237820158948,-3.579562617890801,-0.8948906544727002,12,late,True,
a7,21,2025-12-26,2026-02-03,39,67.56953086622764,41.9775040918529,-25.592026774374737,-0.6562058147275573,12,late,True,
a7,22,2026-02-12,2026-02-20,8,66.89637732435844,62.790004952853195,-4.106372371505245,-0.5132965464381556,2,late,True,
a7,23,2026-02-22,2026-03-03,9,61.381449105258596,58.27240104515245,-3.109048060106147,-0.3454497844562386,2,late,True,
a7,24,2026-03-09,2026-03-16,7,55.761097738672305,53.575912280072146,-2.1851854586001593,-0.3121693512285942,3,late,True,
a7,25,2026-03-29,2026-04-10,12,67.32626476786025,63.82462452044485,-3.501640247415402,-0.2918033539512835,3,late,True,
a8,1,2024-04-06,2024-04-29,23,119.407364675475,115.81864669414949,-3.5887179813255017,-0.15603121657936964,4,early,True,
a8,2,2024-05-14,2024-05-29,15,116.56651157369151,115.180405107789,-1.3861064659025146,-0.09240709772683431,5,early,True,
a8,3,2024-06-06,2024-07-20,44,130.236425570722,129.48957240508452,-0.7468531656374751,-0.016973935582669887,6,early,True,
a8,4,2024-07-23,2024-08-06,14,128.2958611438415,125.529897905176,-2.765963238665506,-0.19756880276182187,7,early,True,
a8,5,2024-08-14,2024-10-27,74,130.4721123577365,88.0418990875469,-42.43021327018961,-0.5733812604079678,8,early,True,
a8,6,2024-11-04,2024-11-15,11,112.24693125266549,106.630434846657,-5.616496406008494,-0.5105905823644086,11,early,True,
a8,7,2024-11-17,2024-12-30,43,106.711249526683,87.1935614417067,-19.5176880849763,-0.45389972290642555,11,early,True,
a8,8,2025-01-07,2025-01-24,17,87.3695477138909,77.2444084956799,-10.12513921821099,-0.5955964246006464,1,early,True,
a8,9,2025-01-26,2025-01-30,4,76.15040143653451,75.1305481985331,-1.019853238001403,-0.25496330950035073,1,early,True,
a8,10,2025-02-17,2025-03-23,34,97.717076479023,83.47505826342,-14.24201821560301,-0.4188828886942062,2,early,True,
a8,11,2025-03-31,2025-05-01,31,94.6983081453763,86.77795219377336,-7.920355951602943,-0.25549535327751427,3,early,True,
a8,12,2025-05-04,2025-05-09,5,86.9607761168942,85.8684713368585,-1.0923047800356898,-0.21846095600713794,5,late,True,
a8,13,2025-05-17,2025-07-02,46,106.898638050689,99.7514258710694,-7.147212179619601,-0.1553741778178174,5,late,True,
a8,14,2025-07-10,2025-09-04,56,103.07610328206201,92.5035587844135,-10.572544497648508,-0.18879543745800906,7,late,True,
a8,15,2025-09-12,2025-10-30,48,93.07968560425121,64.6195489471108,-28.46013665714041,-0.5929195136904252,9,late,True,
a8,16,2025-11-07,2025-11-30,23,88.1152443285524,75.5176440232784,-12.597600305274,-0.5477217524032174,11,late,True,
a8,17,2025-12-05,2025-12-24,19,75.2616893669644,65.2330157319852,-10.0286736349792,-0.5278249281567999,12,late,True,
a8,18,2026-01-01,2026-01-31,30,72.600353526508,53.7114564678841,-18.888897058623904,-0.6296299019541302,1,late,True,
a8,19,2026-02-24,2026-03-18,22,56.90620421517,49.05049040409315,-7.855713811076846,-0.35707790050349303,2,late,True,
a8,20,2026-03-20,2026-03-24,4,47.4052939380396,46.81444918857435,-0.5908447494652478,-0.14771118736631195,3,late,True,
a8,21,2026-04-04,2026-04-10,6,63.1736583008606,61.20489535911885,-1.9687629417417511,-0.32812715695695854,4,late,True,
a9,1,2024-04-05,2024-04-29,24,84.9358533355625,79.4159255251556,-5.519927810406898,-0.22999699210028743,4,early,True,
a9,2,2024-05-15,2024-05-26,11,79.17381022985485,77.1065247929035,-2.0672854369513516,-0.18793503972285014,5,early,True,
a9,3,2024-06-03,2024-07-29,56,102.698884149397,96.8703463218146,-5.828537827582409,-0.10408103263540015,6,early,True,
a9,4,2024-08-07,2024-10-11,65,106.922346169444,88.2279531823678,-18.6943929870762,-0.28760604595501843,8,early,True,
a9,5,2024-10-19,2024-10-27,8,102.610942902393,98.24794493193745,-4.362997970455552,-0.545374746306944,10,early,True,
a9,6,2024-11-01,2024-12-11,40,96.92650433220095,75.19630234223311,-21.73020198996784,-0.5432550497491959,11,early,True,
a9,7,2024-12-19,2025-01-06,18,81.02129015971425,68.11490679988694,-12.906383359827316,-0.7170212977681842,12,early,True,
a9,8,2025-01-09,2025-01-25,16,67.3291010233802,55.07468453501425,-12.254416488365955,-0.7659010305228722,1,early,True,
a9,9,2025-02-04,2025-03-15,39,83.05420506977855,63.87127910326925,-19.182925966509295,-0.4918698965771614,2,early,True,
a9,10,2025-03-26,2025-04-01,6,78.6257079325884,76.525318849557,-2.100389083031402,-0.35006484717190034,3,early,True,
a9,11,2025-04-03,2025-05-03,30,75.94717520693371,69.17734102610521,-6.7698341808284965,-0.2256611393609499,4,early,True,
a9,12,2025-05-05,2025-05-11,6,68.78199695486035,67.1221967099409,-1.6598002449194524,-0.2766333741532421,5,late,True,
a9,13,2025-05-19,2025-07-05,47,82.2225352949637,74.52950364574664,-7.693031649217062,-0.16368152445142684,5,late,True,
a9,14,2025-07-13,2025-08-03,21,92.3485648480907,89.9660058893557,-2.382558958735004,-0.11345518851119066,7,late,True,
a9,15,2025-08-05,2025-08-09,4,89.72259707724436,92.1938416782901,2.47124460104574,,8,late,False,non_continuous_dates
a9,16,2025-08-18,2025-08-23,5,91.15611002479565,91.4304033709837,0.27429334618804546,,8,late,False,non_continuous_dates
a9,17,2025-08-25,2025-09-08,14,85.7225735849391,84.2800570869497,-1.442516497989402,-0.10303689271352871,8,late,True,
